Affected Vendor(s),CVE_ID,CVSS v3.0
Symantec,CVE-2005-2715,
Novell,CVE-2006-6425,
Novell,CVE-2006-6424,
Novell,CVE-2006-6424,
Mozilla Firefox,CVE-2006-6504,
Symantec,CVE-2006-5822,
Symantec,CVE-2006-6222,
Microsoft,CVE-2006-5581,
Microsoft,CVE-2006-4704,
Sophos,CVE-2006-6335,
Sophos,CVE-2006-6335,
Adobe,CVE-2006-5856,
Novell,CVE-2006-5854,
Verity,CVE-2006-5819,
Microsoft,CVE-2006-4687,
WinZip Computing,CVE-2006-5198,
NetIQ,CVE-2006-5487,
Citrix,CVE-2006-5821,
America Online,CVE-2006-5650,
Novell,CVE-2006-5478,
Novell,CVE-2006-5478,
Microsoft,CVE-2006-3650,
Microsoft,CVE-2006-2387,
Microsoft,CVE-2006-3435,
Computer Associates,CVE-2006-5143,
Computer Associates,CVE-2006-5143,
Ipswitch,CVE-2006-5000,
Ipswitch,CVE-2006-4379,
Microsoft,CVE-2006-3450,
Microsoft,CVE-2006-3451,
Mozilla Firefox,CVE-2006-3677,
eIQnetworks,CVE-2006-3838,
eIQnetworks,CVE-2006-3838,
Microsoft,CVE-2006-2388,
WebEx Communications Inc.,CVE-2006-3423,
Apple,CVE-2006-1467,
GraceNote,CVE-2006-3134,
Microsoft,CVE-2006-2383,
Microsoft,CVE-2006-2382,
Novell,CVE-2006-2496,
Apple,CVE-2006-1463,
Verisign,CVE-2006-2273,
3Com  TippingPoint,CVE-2006-0993,
Sophos,CVE-2006-0994,
Mozilla Firefox,CVE-2006-0748,
Mozilla Firefox,CVE-2006-1730,
Mozilla Firefox,CVE-2006-0749,
Novell,CVE-2006-0992,
Microsoft,CVE-2006-0014,
Symantec,CVE-2006-0990,
Symantec,CVE-2006-0989,
Microsoft,CVE-2006-0028,
Ipswitch,CVE-2005-3526,
Adobe,CVE-2005-3525,
Clam AntiVirus,CVE-2006-0162,
"3Com  TippingPoint, Juniper",,
Hewlett-Packard,CVE-2007-6195,
St. Bernard,CVE-2007-6281,
Trend Micro,CVE-2007-6507,
Microsoft,CVE-2007-3039,
Microsoft,CVE-2007-5344,
Microsoft,CVE-2007-3903,
Microsoft,CVE-2007-3902,
Novell,CVE-2007-6302,
Hewlett-Packard,CVE-2007-6204,
Skype,CVE-2007-5989,
Computer Associates,CVE-2007-5328,
Apple,CVE-2007-4672,
Apple,CVE-2007-4676,
Apple,CVE-2007-4676,
Apple,CVE-2007-4677,
Novell,CVE-2007-5767,
RealNetworks,CVE-2007-2264,
RealNetworks,CVE-2007-4599,
RealNetworks,CVE-2007-2263,
Hewlett-Packard,CVE-2007-5413,
"IBM, Verity",CVE-2007-5909,
Oracle / PeopleSoft,CVE-2007-5766,
Firebird,CVE-2007-4992,
IBM,CVE-2007-2582,
Microsoft,CVE-2007-2228,
IBM,CVE-2007-4880,
Microsoft,CVE-2007-4991,
MIT,CVE-2007-3999,
Trend Micro,CVE-2007-4731,
Trend Micro,CVE-2007-4218,
EMC,CVE-2007-3618,
Microsoft,CVE-2007-2223,
Microsoft,CVE-2007-3035,
Microsoft,CVE-2007-3037,
Novell,CVE-2007-2954,
BakBone,CVE-2007-3911,
Ipswitch,CVE-2007-2795,
Ipswitch,CVE-2007-2795,
Panda Software,CVE-2007-3026,
Symantec,CVE-2007-0447,
Symantec,CVE-2007-3699,
Microsoft,CVE-2007-1751,
Microsoft,CVE-2007-3027,
Arris,CVE-2007-2796,
Computer Associates,CVE-2007-2864,
Computer Associates,CVE-2007-2863,
Samba,CVE-2007-2446,
Samba,CVE-2007-2446,
Samba,CVE-2007-2446,
Samba,CVE-2007-2446,
Samba,CVE-2007-2446,
Computer Associates,CVE-2007-2522,
Microsoft,CVE-2007-0944,
Microsoft,CVE-2007-0215,
Trend Micro,CVE-2007-2508,
Trend Micro,CVE-2007-2508,
Apple,CVE-2007-2175,
Computer Associates,CVE-2007-2139,
GraceNote,CVE-2007-0443,
BMC Software,CVE-2007-1972,
BMC Software,CVE-2007-2136,
IBM,CVE-2007-2137,
Oracle / PeopleSoft,CVE-2007-2135,
Oracle / PeopleSoft,CVE-2007-2170,
Novell,CVE-2007-2171,
Kaspersky,CVE-2007-1112,
Kaspersky,CVE-2007-0445,
Yahoo!,CVE-2007-1680,
IBM,CVE-2007-1675,
Apple,CVE-2007-0714,
Novell,CVE-2007-1350,
Apache,CVE-2007-0774,
Mercury,CVE-2007-0446,
Citrix,CVE-2007-0444,
Sun Microsystems,CVE-2007-0243,
Computer Associates,CVE-2007-0169,
Computer Associates,CVE-2007-0169,
Computer Associates,CVE-2007-0168,
QUALCOMM,CVE-2006-6336,
Microsoft,CVE-2008-4019,
America Online,,
America Online,,
EMC,CVE-2008-3684,
EMC,CVE-2008-3685,
Mozilla Firefox,CVE-2008-5013,
Mozilla Firefox,CVE-2008-5021,
Adobe,CVE-2007-6637,
RealNetworks,,
RealNetworks,,
RealNetworks,,
Oracle,,
Microsoft,CVE-2008-4259,
Microsoft,CVE-2008-4837,
Microsoft,CVE-2008-4028,
Microsoft,CVE-2008-4027,
Microsoft,CVE-2008-4255,
BMC Software,CVE-2008-5982,
Sun Microsystems,CVE-2008-5339,
Sun Microsystems,CVE-2008-5359,
Cerulean Studios,CVE-2008-5403,
Trillian,CVE-2008-5402,
Cerulean Studios,CVE-2008-5401,
EMC,CVE-2008-5420,
EMC,CVE-2008-5419,
Adobe,CVE-2008-4813,
Adobe,CVE-2008-4813,
Adobe,CVE-2008-2992,
IBM,CVE-2008-4801,
SonicWALL,CVE-2008-4918,
Microsoft,CVE-2008-3475,
Microsoft,CVE-2008-3471,
Apple,CVE-2008-3641,
Novell,CVE-2008-4480,
Novell,CVE-2008-4478,
Novell,CVE-2008-4479,
Novell,CVE-2008-4478,
Apple,CVE-2008-3627,
