Disclosure Date,CVE_ID
2018-08-05,CVE-2018-0824
2022-11-22,CVE-2022-29845
2022-11-22,CVE-2022-29846
2022-11-22,CVE-2022-29847
2022-11-22,CVE-2022-29848
2022-11-16,cve-2022-41622
2022-11-16,cve-2022-41800
2022-04-15,CVE-2022-22948
2020-12-02,CVE-2020-8539
2014-02-05,CVE-2014-0497
2014-02-05,cve-2014-0497
2014-10-14,CVE-2014-0569
2014-10-14,cve-2014-0569
2014-09-23,CVE-2014-0556
2014-09-23,cve-2014-0556
2014-04-14,CVE-2015-0359
2014-04-14,cve-2015-0359
2013-12-10,CVE-2013-5331
2013-12-10,cve-2013-5331
2014-11-25,CVE-2015-0318
2014-11-25,cve-2015-0318
2013-02-08,CVE-2013-0634
2013-02-08,cve-2013-0634
2014-11-11,CVE-2014-8440
2014-11-11,cve-2014-8440
2015-02-02,CVE-2015-0313
2015-02-02,cve-2015-0313
2019-03-21,CVE-2019-5786
2019-03-21,cve-2019-5786
2017-01-21,CVE-2017-3823
2013-09-17,cve-2013-3893
2010-10-12,cve-2010-3563
2014-12-16,cve-2014-4936
2013-03-12,cve-2013-0074
2014-11-13,CVE-2014-6332
2014-11-13,cve-2014-6332
2021-06-08,CVE-2021-1675
2021-06-08,CVE-2021-34527
2010-09-07,cve-2010-2883
2010-06-04,CVE-2010-1297
2010-03-29,CVE-2010-1240
2011-12-06,cve-2011-2462
2007-06-19,CVE-2007-3314
2011-08-08,CVE-2011-0257
2012-05-15,cve-2012-0663
2012-05-15,cve-2012-0664
2017-06-13,CVE-2015-0096
2017-06-13,CVE-2017-8464
2017-06-13,cve-2017-8464
2018-04-20,CVE-2018-9948
2023-07-26,cve-2023-34634
2010-06-08,CVE-2010-0822
2011-08-09,CVE-2011-0105
2012-01-10,CVE-2012-0013
2014-04-01,cve-2014-1761
2014-10-14,CVE-2014-4114
2014-10-14,cve-2014-4114
2014-11-12,CVE-2014-4114
2014-10-21,CVE-2014-6352
2015-03-10,CVE-2015-0096
2013-11-05,CVE-2013-3906
2013-11-05,cve-2013-3906
2017-11-15,CVE-2017-11882
2008-04-17,CVE-2008-0320
2014-02-05,CVE-2014-0980
2023-09-13,CVE-2023-38146
2023-08-23,CVE-2023-38831
