cve,date
CVE-2007-3893,2024-12-25
CVE-2007-3893,2024-12-26
CVE-2007-3893,2024-12-27
CVE-2007-3893,2024-12-28
CVE-2007-3893,2024-12-29
CVE-2008-0638,2024-12-25
CVE-2008-0638,2024-12-26
CVE-2008-0638,2024-12-27
CVE-2008-0638,2024-12-28
CVE-2008-0638,2024-12-29
CVE-2013-3117,2024-12-25
CVE-2013-3117,2024-12-26
CVE-2013-3117,2024-12-27
CVE-2013-3117,2024-12-28
CVE-2013-3117,2024-12-29
CVE-2023-22901,2024-12-25
CVE-2023-22901,2024-12-26
CVE-2023-22901,2024-12-27
CVE-2023-22901,2024-12-28
CVE-2023-22901,2024-12-29
CVE-2023-36873,2024-12-25
CVE-2023-36873,2024-12-26
CVE-2023-36873,2024-12-27
CVE-2023-36873,2024-12-28
CVE-2023-36873,2024-12-29
