cve,date,epss
CVE-2008-0638,2024-12-25,0.88449
CVE-2008-0638,2024-12-26,0.88449
CVE-2008-0638,2024-12-27,0.88449
CVE-2008-0638,2024-12-28,0.88449
CVE-2008-0638,2024-12-29,0.88449
CVE-2013-3117,2024-12-25,0.87467
CVE-2013-3117,2024-12-26,0.87467
CVE-2013-3117,2024-12-27,0.87467
CVE-2013-3117,2024-12-28,0.87467
CVE-2013-3117,2024-12-29,0.87467
CVE-2007-3893,2024-12-25,0.8933
CVE-2007-3893,2024-12-26,0.8933
CVE-2007-3893,2024-12-27,0.8933
CVE-2007-3893,2024-12-28,0.8933
CVE-2007-3893,2024-12-29,0.8933
CVE-2023-22901,2024-12-25,0.00072
CVE-2023-22901,2024-12-26,0.00072
CVE-2023-22901,2024-12-27,0.00072
CVE-2023-22901,2024-12-28,0.00072
CVE-2023-22901,2024-12-29,0.00072
CVE-2023-36873,2024-12-25,0.00078
CVE-2023-36873,2024-12-26,0.00078
CVE-2023-36873,2024-12-27,0.00078
CVE-2023-36873,2024-12-28,0.00078
CVE-2023-36873,2024-12-29,0.00078
