cve,date
CVE-2005-2674,2022-02-04
CVE-2005-2674,2022-02-05
CVE-2005-2674,2022-02-06
CVE-2005-2674,2022-02-07
CVE-2005-2674,2022-02-08
CVE-2007-3905,2022-02-04
CVE-2007-3905,2022-02-05
CVE-2007-3905,2022-02-06
CVE-2007-3905,2022-02-07
CVE-2007-3905,2022-02-08
CVE-2018-0897,2022-02-04
CVE-2018-0897,2022-02-05
CVE-2018-0897,2022-02-06
CVE-2018-0897,2022-02-07
CVE-2018-0897,2022-02-08
CVE-2022-31697,2022-12-14
CVE-2022-31697,2022-12-15
CVE-2022-31697,2022-12-16
CVE-2022-31697,2022-12-17
CVE-2022-31697,2022-12-18
CVE-2023-36803,2023-09-13
CVE-2023-36803,2023-09-14
CVE-2023-36803,2023-09-15
CVE-2023-36803,2023-09-16
CVE-2023-36803,2023-09-17
