cve,date,epss
CVE-2005-2674,2022-02-04,0.01917
CVE-2005-2674,2022-02-05,0.01917
CVE-2005-2674,2022-02-06,0.01917
CVE-2005-2674,2022-02-07,0.01917
CVE-2005-2674,2022-02-08,0.01917
CVE-2007-3905,2022-02-04,0.01319
CVE-2007-3905,2022-02-05,0.01319
CVE-2007-3905,2022-02-06,0.01319
CVE-2007-3905,2022-02-07,0.01319
CVE-2007-3905,2022-02-08,0.01319
CVE-2018-0897,2022-02-04,0.02185
CVE-2018-0897,2022-02-05,0.02185
CVE-2018-0897,2022-02-06,0.02185
CVE-2018-0897,2022-02-07,0.02185
CVE-2018-0897,2022-02-08,0.02185
CVE-2022-31697,2022-12-14,0.00885
CVE-2022-31697,2022-12-15,0.00885
CVE-2022-31697,2022-12-16,0.00885
CVE-2022-31697,2022-12-17,0.00885
CVE-2022-31697,2022-12-18,0.00885
CVE-2023-36803,2023-09-13,0.00043
CVE-2023-36803,2023-09-14,0.00043
CVE-2023-36803,2023-09-15,0.00048
CVE-2023-36803,2023-09-16,0.00048
CVE-2023-36803,2023-09-17,0.00048
