2025-06-08 10:50:32,453 - INFO - Starting robust CVE catalog conversion from ../../../../catalogs_processed/2025-06-08_snapshot.jsonl to cve_catalog_robust_20250608_105032.csv
2025-06-08 10:50:33,905 - INFO - Processed 10,000 records...
2025-06-08 10:50:35,133 - INFO - Processed 20,000 records...
2025-06-08 10:50:36,621 - INFO - Processed 30,000 records...
2025-06-08 10:50:38,178 - INFO - Processed 40,000 records...
2025-06-08 10:50:39,904 - INFO - Processed 50,000 records...
2025-06-08 10:50:41,602 - INFO - Processed 60,000 records...
2025-06-08 10:50:43,209 - INFO - Processed 70,000 records...
2025-06-08 10:50:44,647 - INFO - Processed 80,000 records...
2025-06-08 10:50:46,245 - INFO - Processed 90,000 records...
2025-06-08 10:50:47,917 - INFO - Processed 100,000 records...
2025-06-08 10:50:49,465 - INFO - Processed 110,000 records...
2025-06-08 10:50:51,321 - INFO - Processed 120,000 records...
2025-06-08 10:50:52,947 - INFO - Processed 130,000 records...
2025-06-08 10:50:54,638 - INFO - Processed 140,000 records...
2025-06-08 10:50:56,675 - INFO - Processed 150,000 records...
2025-06-08 10:50:58,562 - INFO - Processed 160,000 records...
2025-06-08 10:51:00,696 - INFO - Processed 170,000 records...
2025-06-08 10:51:02,833 - INFO - Processed 180,000 records...
2025-06-08 10:51:04,915 - INFO - Processed 190,000 records...
2025-06-08 10:51:06,392 - INFO - Processed 200,000 records...
2025-06-08 10:51:08,386 - INFO - Processed 210,000 records...
2025-06-08 10:51:10,291 - INFO - Processed 220,000 records...
2025-06-08 10:51:12,310 - INFO - Processed 230,000 records...
2025-06-08 10:51:14,972 - INFO - Processed 240,000 records...
2025-06-08 10:51:17,342 - INFO - Processed 250,000 records...
2025-06-08 10:51:19,528 - WARNING - Score mismatch detected: original=2.1, validated=1.2
2025-06-08 10:51:19,530 - WARNING - Score mismatch detected: original=2.1, validated=1.2
2025-06-08 10:51:19,532 - WARNING - Score mismatch detected: original=2.1, validated=1.2
2025-06-08 10:51:19,545 - WARNING - Score mismatch detected: original=5.6, validated=5.7
2025-06-08 10:51:19,603 - WARNING - Score mismatch detected: original=5.3, validated=2.1
