CVE_ID,vendorProject,product,knownRansomwareCampaignUse,cwes
CVE-2023-33538,TP-Link,Multiple Routers,Unknown,CWE-77
CVE-2025-43200,Apple,Multiple Products,Unknown,
CVE-2025-33053,Web Distributed Authoring and Versioning,Web Distributed Authoring and Versioning (WebDAV),Unknown,CWE-73
CVE-2025-24016,Wazuh,Wazuh Server,Unknown,CWE-502
CVE-2024-42009,Roundcube,Webmail,Unknown,CWE-79
CVE-2025-32433,Erlang,Erlang/OTP,Unknown,CWE-306
CVE-2025-5419,Google,Chromium V8,Unknown,"CWE-125, CWE-787"
CVE-2025-21479,Qualcomm,Multiple Chipsets,Unknown,CWE-863
CVE-2025-21480,Qualcomm,Multiple Chipsets,Unknown,CWE-863
CVE-2025-27038,Qualcomm,Multiple Chipsets,Unknown,CWE-416
CVE-2021-32030,ASUS,Routers,Unknown,CWE-287
CVE-2025-3935,ConnectWise,ScreenConnect,Unknown,CWE-287
CVE-2025-35939,Craft CMS,Craft CMS,Unknown,CWE-472
CVE-2024-56145,Craft CMS,Craft CMS,Unknown,CWE-94
CVE-2023-39780,ASUS,RT-AX55 Routers,Unknown,CWE-78
CVE-2025-4632,Samsung,MagicINFO 9 Server,Unknown,CWE-22
CVE-2023-38950,ZKTeco,BioTime,Unknown,CWE-22
CVE-2024-27443,Synacor,Zimbra Collaboration Suite (ZCS),Unknown,CWE-79
CVE-2025-27920,Srimax,Output Messenger,Unknown,CWE-22
CVE-2024-11182,MDaemon,Email Server,Unknown,CWE-79
CVE-2025-4428,Ivanti,Endpoint Manager Mobile (EPMM),Unknown,CWE-94
CVE-2025-4427,Ivanti,Endpoint Manager Mobile (EPMM),Unknown,CWE-288
CVE-2025-42999,SAP,NetWeaver,Unknown,CWE-502
CVE-2024-12987,DrayTek,Vigor Routers,Unknown,CWE-78
CVE-2025-32756,Fortinet,Multiple Products,Unknown,CWE-124
CVE-2025-32709,Microsoft,Windows,Unknown,CWE-416
CVE-2025-30397,Microsoft,Windows,Unknown,CWE-843
CVE-2025-32706,Microsoft,Windows,Unknown,CWE-122
CVE-2025-32701,Microsoft,Windows,Unknown,CWE-416
CVE-2025-30400,Microsoft,Windows,Unknown,CWE-416
CVE-2025-47729,TeleMessage,TM SGNL,Unknown,CWE-912
CVE-2024-11120,GeoVision,Multiple Devices,Unknown,CWE-78
CVE-2024-6047,GeoVision,Multiple Devices,Unknown,CWE-78
CVE-2025-27363,FreeType,FreeType,Unknown,CWE-787
CVE-2025-3248,Langflow,Langflow,Unknown,CWE-306
CVE-2025-34028,Commvault,Command Center,Unknown,CWE-22
CVE-2024-58136,Yiiframework,Yii,Unknown,CWE-424
CVE-2024-38475,Apache,HTTP Server,Unknown,CWE-116
CVE-2023-44221,SonicWall,SMA100 Appliances,Unknown,CWE-78
CVE-2025-31324,SAP,NetWeaver,Known,CWE-434
CVE-2025-1976,Broadcom,Brocade Fabric OS,Unknown,CWE-94
CVE-2025-42599,Qualitia,Active! Mail,Unknown,CWE-121
CVE-2025-3928,Commvault,Web Server,Unknown,
CVE-2025-24054,Microsoft,Windows,Unknown,CWE-73
CVE-2025-31201,Apple,Multiple Products,Unknown,
CVE-2025-31200,Apple,Multiple Products,Unknown,
CVE-2021-20035,SonicWall,SMA100 Appliances,Unknown,CWE-78
CVE-2024-53150,Linux,Kernel,Unknown,CWE-125
CVE-2024-53197,Linux,Kernel,Unknown,CWE-787
CVE-2025-29824,Microsoft,Windows,Known,CWE-416
CVE-2025-30406,Gladinet,CentreStack,Unknown,CWE-321
CVE-2025-31161,CrushFTP,CrushFTP,Known,CWE-305
CVE-2025-22457,Ivanti,"Connect Secure, Policy Secure, and ZTA Gateways",Known,CWE-121
CVE-2025-24813,Apache,Tomcat,Unknown,"CWE-44, CWE-502"
CVE-2024-20439,Cisco,Smart Licensing Utility,Unknown,CWE-912
CVE-2025-2783,Google,Chromium Mojo,Unknown,
CVE-2019-9875,Sitecore,CMS and Experience Platform (XP),Unknown,CWE-502
CVE-2019-9874,Sitecore,CMS and Experience Platform (XP),Unknown,CWE-502
CVE-2025-30154,reviewdog,action-setup GitHub Action,Unknown,CWE-506
CVE-2017-12637,SAP,NetWeaver,Unknown,CWE-22
CVE-2024-48248,NAKIVO,Backup and Replication,Unknown,CWE-36
