id,date_mastodon,cve_ids
114631040736754113,2025-06-05T13:41:10.619Z,CVE-2011-10007
114623023487249203,2025-06-04T03:42:17.100Z,CVE-2025-5419
114619803510347724,2025-06-03T14:03:24.148Z,CVE-2025-20188
114619803197270058,2025-06-03T14:03:19.000Z,CVE-2025-20188
114619322184534530,2025-06-03T12:00:59.699Z,CVE-2024-12133
114619322067500365,2025-06-03T12:00:57.914Z,CVE-2025-0395
114619322011981913,2025-06-03T12:00:57.067Z,CVE-2024-33602
114619321935488920,2025-06-03T12:00:55.899Z,CVE-2024-33601
114619321874862530,2025-06-03T12:00:54.975Z,CVE-2024-33600
114619321789654802,2025-06-03T12:00:53.674Z,CVE-2024-33599
114619321722862008,2025-06-03T12:00:52.655Z,CVE-2021-43396
114614201572453554,2025-06-02T14:18:45.358Z,CVE-2025-37752
114612473530197629,2025-06-02T06:59:17.532Z,CVE-2020-27786
114612321370630578,2025-06-02T06:20:35.757Z,CVE-2025-1235
114596720277695800,2025-05-30T12:13:00.000Z,CVE-2023-39780
114578985199381688,2025-05-27T09:02:46.150Z,CVE-2025-41651
114578985199381688,2025-05-27T09:02:46.150Z,CVE-2025-41652
114578985199381688,2025-05-27T09:02:46.150Z,CVE-2025-41649
114578985199381688,2025-05-27T09:02:46.150Z,CVE-2025-41650
114578985199381688,2025-05-27T09:02:46.150Z,CVE-2025-41653
114578980195494548,2025-05-27T09:01:29.797Z,CVE-2025-26168
114578980195494548,2025-05-27T09:01:29.797Z,CVE-2025-26169
114575915221540133,2025-05-26T20:02:02.007Z,CVE-2024-4367
114575915221540133,2025-05-26T20:02:02.007Z,CVE-2024-4367
114574834552821726,2025-05-26T15:27:12.000Z,CVE-2025-2233
114573955091533918,2025-05-26T11:43:32.800Z,CVE-2025-41654
114573955091533918,2025-05-26T11:43:32.800Z,CVE-2025-41655
114573955091533918,2025-05-26T11:43:32.800Z,CVE-2025-1985
114560215789164726,2025-05-24T01:29:27.686Z,CVE-2025-0072
114560214792305287,2025-05-24T01:29:11.000Z,CVE-2025-0072
114556351048130560,2025-05-23T09:06:14.000Z,CVE-2023-38408
114553962608136860,2025-05-22T22:59:11.000Z,CVE-2025-4613
114553510802552184,2025-05-22T21:04:17.707Z,CVE-2025-37899
114548110814155690,2025-05-21T22:11:00.000Z,CVE-2025-4918
114548110814155690,2025-05-21T22:11:00.000Z,CVE-2025-4918
114547990628586155,2025-05-21T21:40:26.000Z,CVE-2025-4919
114547990628586155,2025-05-21T21:40:26.000Z,CVE-2025-4919
114540049499504886,2025-05-20T12:00:54.521Z,CVE-2025-47273
114538329714368440,2025-05-20T04:43:27.000Z,CVE-2022-41966
114533687988894057,2025-05-19T09:03:05.573Z,CVE-2025-3600
114506309346493951,2025-05-14T13:00:19.000Z,CVE-2025-30397
114506309346493951,2025-05-14T13:00:19.000Z,CVE-2025-30400
114506309346493951,2025-05-14T13:00:19.000Z,CVE-2025-32701
114506309346493951,2025-05-14T13:00:19.000Z,CVE-2025-32706
114506309346493951,2025-05-14T13:00:19.000Z,CVE-2025-32709
114506075624796078,2025-05-14T12:00:54.335Z,CVE-2022-46908
114506075567180134,2025-05-14T12:00:53.457Z,CVE-2025-32415
